imagelink,imagelink-href,title,artist,country,height,width,price,views,favorites,subject,mediums,date
"Zdvyzh river","https://www.saatchiart.com/art/Painting-Zdvyzh-river/807315/2583063/view","Zdvyzh river","Maria Polishchuk","Ukraine","10","14","185","601","12","Landscape","Watercolor","1412899200000"
"Tropical Path","https://www.saatchiart.com/art/Painting-Tropical-Path/781262/3329558/view","Tropical Path","Sheila Chapman","United Kingdom","11","11","245","408","4","People","Oil, Acrylic","1451606400000"
"True North","https://www.saatchiart.com/art/Painting-True-North/343611/2528644/view","True North","Annette Cargill","United States","24","19","245","272","15","Abstract","Acrylic, pastel","1420070400000"
"trees","https://www.saatchiart.com/art/Painting-trees/799801/2580819/view","trees","Jaco art enjoyment","Ukraine","37","24","280","1079","66","Abstract","Acrylic, Ink","1439337600000"
"Seashells","https://www.saatchiart.com/art/Painting-Seashells/172663/2902515/view","Seashells","James Gloria","United States","5","7","160","317","6","Still Life","Watercolor","1459209600000"
"WC 04","https://www.saatchiart.com/art/Painting-WC-04/416062/2941189/view","WC 04","Holly Boruck","United States","15","15","145","670","21","Botanic","Watercolor","1167609600000"
"Cercis (Redbud) tree in blossom","https://www.saatchiart.com/art/Painting-Cercis-Redbud-tree-in-blossom/781213/3124349/view","Cercis (Redbud) tree in blossom","Irina Afonskaya","Bulgaria","12","11","190","337","5","Tree","Oil, Acrylic","1451606400000"
"Shimmering Blue- 2","https://www.saatchiart.com/art/Painting-Shimmering-Blue-2/555122/3238588/view","Shimmering Blue- 2","Stefan Fierros","United Kingdom","15","12","165","453","32","Seascape","Watercolor","1451606400000"
"Unfold","https://www.saatchiart.com/art/Painting-Unfold/677412/3045009/view","Unfold","Inanda Page","South Africa","11","15","195","441","19","Seascape","Acrylic","1451606400000"
"Water lilies","https://www.saatchiart.com/art/Painting-Water-lilies/932690/3329316/view","Water lilies","Olga Tyshchenko","Ukraine","21","17","260","307","11","Floral","Oil","1451606400000"
"19mm x 50m 13","https://www.saatchiart.com/art/Painting-19mm-x-50m-13/126029/2055436/view","19mm x 50m 13","Dragomir Misina","United Kingdom","4","4","190","1636","22","Abstract","Acrylic","1400112000000"
"Red Apples","https://www.saatchiart.com/art/Painting-Red-Apples/678149/2872417/view","Red Apples","Jennifer Doehring","United States","12","9","185","393","23","Food","Watercolor","1270684800000"
"Warmth","https://www.saatchiart.com/art/Painting-Warmth/809722/2688514/view","Warmth","Kat Pogodina","Russia","9","7","290","230","10","Landscape","Oil","1446336000000"
"Flake #01","https://www.saatchiart.com/art/Painting-Flake-01/328886/2628412/view","Flake #01","Shawn Sloan","United States","6","6","135","952","32","Science","Watercolor","1420070400000"
"Horizon No.11","https://www.saatchiart.com/art/Painting-Horizon-No-11/815687/3404206/view","Horizon No.11","Abigail Bowen","United Kingdom","6","6","145","109","15","Abstract","Oil, Conte, Pencil","1483228800000"
"Venice, Cityscape oil Painting, Handmade art, One of a Kind","https://www.saatchiart.com/art/Painting-Venice-Cityscape-oil-Painting-Handmade-art-One-of-a-Kind/503607/3484226/view","Venice, Cityscape oil Painting, Handmade art, One of a Kind","Vahe Yeremyan","United States","11","14","280","198","8","Architecture","Oil","1483228800000"
"Blackberries","https://www.saatchiart.com/art/Painting-Blackberries/385498/3073018/view","Blackberries","Tatyana Bondareva","Qatar","7","11","135","215","16","Still Life","Watercolor","1420070400000"
"Titanium no.6","https://www.saatchiart.com/art/Painting-Titanium-no-6/809677/3341961/view","Titanium no.6","Arthur Soletskyi","Ukraine","23","23","330","376","38","Abstract","Acrylic","1451606400000"
"Giant Kelp","https://www.saatchiart.com/art/Painting-Giant-Kelp/814780/3434519/view","Giant Kelp","Jacqueline Talbot","","15","15","220","64","5","Water","Acrylic","1483228800000"
"Leroy's House Was Just as He Pictured It","https://www.saatchiart.com/art/Painting-Leroy-s-House-Was-Just-as-He-Pictured-It/584300/3526971/view","Leroy's House Was Just as He Pictured It","Kelly Puissegur","United States","8","8","185","178","7","Humor","Acrylic, Gouache","1483228800000"
"Brassy Pastures","https://www.saatchiart.com/art/Painting-Brassy-Pastures/375570/3235908/view","Brassy Pastures","Victoria Primicias","United States","8","8","160","233","15","Landscape","Acrylic","1451606400000"
"Yawning cat","https://www.saatchiart.com/art/Painting-Yawning-cat/770932/2517206/view","Yawning cat","Agnes Bodor","United States","18","24","190","1347","25","Animal","Watercolor","1433548800000"
"The blue lake - abstract landscape","https://www.saatchiart.com/art/Painting-The-blue-lake-abstract-landscape/20453/3080932/view","The blue lake - abstract landscape","Fabienne Monestier","France","22","22","301","493","27","Landscape","Acrylic","1356998400000"
"¥UM","https://www.saatchiart.com/art/Painting-UM/651434/3343469/view","¥UM","Rodrigue Semabia","United States","20","16","280","362","8","Abstract","Gesso, Acrylic, Paint","1451606400000"
"Self portrait with striped coat II.","https://www.saatchiart.com/art/Painting-Self-portrait-with-striped-coat-II/426628/3477779/view","Self portrait with striped coat II.","Szabrina Maharita","Hungary","7","9","155","85","7","People","Oil","1483228800000"
"Oasis 8","https://www.saatchiart.com/art/Painting-Oasis-8/335662/3330332/view","Oasis 8","Irina Rumyantseva","United Kingdom","12","12","140","221","9","Abstract","Acrylic","1451606400000"
"Miste 2","https://www.saatchiart.com/art/Painting-Miste-2/712901/2315208/view","Miste 2","Joshua Evans-Hooper","United Kingdom","9","7","240","2382","48","Nature","Acrylic, Spray Paint","1420070400000"
"19mm x 50m 1","https://www.saatchiart.com/art/Painting-19mm-x-50m-1/126029/2047448/view","19mm x 50m 1","Dragomir Misina","United Kingdom","4","4","190","1373","20","Abstract","Acrylic","1398902400000"
"Sail Boats, Harbor, Original oil Painting, One of a Kind","https://www.saatchiart.com/art/Painting-Sail-Boats-Harbor-Original-oil-Painting-One-of-a-Kind/503607/3482207/view","Sail Boats, Harbor, Original oil Painting, One of a Kind","Vahe Yeremyan","United States","11","14","265","243","12","Sailboat","Oil","1483228800000"
"Sweet Dandelion","https://www.saatchiart.com/art/Painting-Sweet-Dandelion/651434/3141231/view","Sweet Dandelion","Rodrigue Semabia","United States","10","8","145","272","13","Abstract","Enamel, Acrylic, Gesso","1451606400000"
"Logos #35","https://www.saatchiart.com/art/Painting-Logos-35/313699/2522889/view","Logos #35","Frederic Belaubre","France","16","11","165","1182","19","Abstract","Acrylic","1433894400000"
"He'm","https://www.saatchiart.com/art/Painting-He-m/870783/2970388/view","He'm","Ulugbek Doschanov","Russia","33","23","165","547","16","Abstract","Acrylic","1451606400000"
"Fog","https://www.saatchiart.com/art/Painting-Fog/806178/2583095/view","Fog","Elizaveta Panchuk","Ukraine","11","11","195","414","24","Landscape","Oil","1437264000000"
"The Red Spot (Saatchi Art curated collection choice)","https://www.saatchiart.com/art/Painting-The-Red-Spot-Saatchi-Art-curated-collection-choice/700924/2091373/view","The Red Spot (Saatchi Art curated collection choice)","Wolfgang Alt","Germany","5","5","180","1881","47","Nature","Oil","1325376000000"
"Logos #33","https://www.saatchiart.com/art/Painting-Logos-33/313699/2521784/view","Logos #33","Frederic Belaubre","France","16","11","165","1219","13","Abstract","Acrylic","1434499200000"
"marilyn monroe","https://www.saatchiart.com/art/Painting-marilyn-monroe/882663/2983435/view","marilyn monroe","Joel Imen","","15","11","310","474","9","Women","Acrylic, Watercolor, Ink, Paper","1451606400000"
"Grandparent","https://www.saatchiart.com/art/Painting-Grandparent/879674/3359526/view","Grandparent","Miloš Hronec","Slovakia","9","6","165","363","30","Portrait","Acrylic, Oil, Pencil","1451606400000"
"Skyline four","https://www.saatchiart.com/art/Painting-Skyline-four/10411/2626978/view","Skyline four","Simon Hopkinson","United Kingdom","9","13","290","1328","29","Cities","Acrylic","1420070400000"
"Broken Waves","https://www.saatchiart.com/art/Painting-Broken-Waves/419592/3173455/view","Broken Waves","Ursula E Rettich","Canada","24","20","275","264","8","Abstract","Acrylic, Gesso, Color, Paint","1356998400000"
"The ocean is calling II","https://www.saatchiart.com/art/Painting-The-ocean-is-calling-II/808550/2672324/view","The ocean is calling II","Nagore Rodriguez","Spain","19","15","295","1197","45","People","Oil","1420070400000"
"My plants","https://www.saatchiart.com/art/Painting-My-plants/771034/2923050/view","My plants","Marina Gorkaeva","Russia","16","11","290","346","9","Floral","Acrylic, Gouache, Tempera","1456876800000"
"Point of attention","https://www.saatchiart.com/art/Painting-Point-of-attention/51397/2917901/view","Point of attention","Beti Bricelj","Slovenia","5","5","205","449","24","Geometric","Acrylic","1325376000000"
"Sounds of the Autumn","https://www.saatchiart.com/art/Painting-Sounds-of-the-Autumn/567268/3207564/view","Sounds of the Autumn","Kume Bryant","United States","18","24","310","581","7","Abstract","Acrylic","1451606400000"
"Storm In Yellow","https://www.saatchiart.com/art/Painting-Storm-In-Yellow/850521/3035557/view","Storm In Yellow","Daniel Urbaník","Slovakia","23","23","330","597","35","Abstract","Acrylic","1420070400000"
"Odocoileus 1","https://www.saatchiart.com/art/Painting-Odocoileus-1/700719/2884405/view","Odocoileus 1","Will Eskridge","United States","10","8","145","592","20","Animal","Spray Paint","1456358400000"
"Equestrian","https://www.saatchiart.com/art/Painting-Equestrian/790115/3057209/view","Equestrian","Candice Chovanec","United States","11","9","135","251","14","Women","Oil","1420070400000"
"Branches on Blue Sky","https://www.saatchiart.com/art/Painting-Branches-on-Blue-Sky/872500/3071096/view","Branches on Blue Sky","Clifford Palmer","United Kingdom","12","8","135","454","18","Landscape","Oil","1388534400000"
"Cat in the garden 4","https://www.saatchiart.com/art/Painting-Cat-in-the-garden-4/313699/2915662/view","Cat in the garden 4","Frederic Belaubre","France","11","8","135","712","8","Cats","Watercolor","1459468800000"
"Boats","https://www.saatchiart.com/art/Painting-Boats/959660/3387703/view","Boats","Pavlo Guzenko","Ukraine","11","11","210","207","4","Boat","Oil","1451606400000"
"Headway","https://www.saatchiart.com/art/Painting-Headway/677412/3026234/view","Headway","Inanda Page","South Africa","8","13","140","341","30","Seascape","Oil","1451606400000"
"Salvation","https://www.saatchiart.com/art/Painting-Salvation/718375/2430579/view","Salvation","Ganesh Bhat","India","7","8","135","976","34","Abstract","Oil","1403654400000"
"Grand Canyon, Landscape oil painting, One of a kind","https://www.saatchiart.com/art/Painting-Grand-Canyon-Landscape-oil-painting-One-of-a-kind/503607/3396859/view","Grand Canyon, Landscape oil painting, One of a kind","Vahe Yeremyan","United States","14","14","285","490","14","Landscape","Oil","1483228800000"
"Above It All","https://www.saatchiart.com/art/Painting-Above-It-All/969352/3445328/view","Above It All","Lisa Miller","United States","20","16","180","29","4","Abstract","Acrylic, Graphite","1483228800000"
"pomegranates","https://www.saatchiart.com/art/Painting-pomegranates/657220/2512401/view","pomegranates","Sedighe Zoughi","Japan","13","9","240","669","30","Still Life","Oil","1434412800000"
"South wind","https://www.saatchiart.com/art/Painting-South-wind/788456/2820960/view","South wind","Tiago Barzana","","12","9","265","296","6","Landscape","Oil","1446076800000"
"Landscape 19x25 cm","https://www.saatchiart.com/art/Painting-Landscape-19x25-cm/950236/3337739/view","Landscape 19x25 cm","Egi Pipero","Albania","7","9","190","159","8","Landscape","Watercolor","1451606400000"
"19mm x 50m 5","https://www.saatchiart.com/art/Painting-19mm-x-50m-5/126029/2047496/view","19mm x 50m 5","Dragomir Misina","United Kingdom","4","4","190","1699","27","Abstract","Acrylic","1398902400000"
"Bridge","https://www.saatchiart.com/art/Painting-Bridge/870783/2975741/view","Bridge","Ulugbek Doschanov","Russia","33","23","185","637","27","Abstract","Acrylic","1451606400000"
"Running Escapes I","https://www.saatchiart.com/art/Painting-Running-Escapes-I/388106/3274114/view","Running Escapes I","Catherine Perreira","Trinidad and Tobago","10","12","295","67","3","Garden","Acrylic","1451606400000"
"Lake Trail","https://www.saatchiart.com/art/Painting-Lake-Trail/342989/3208614/view","Lake Trail","Michelle Daisley Moffitt","United States","12","12","295","458","28","Abstract","Acrylic","1451606400000"
"Fiery landscape","https://www.saatchiart.com/art/Painting-Fiery-landscape/880569/3245028/view","Fiery landscape","Sejben Lajos","Hungary","7","12","290","221","4","Landscape","Oil","1451606400000"
"And it was blue","https://www.saatchiart.com/art/Painting-And-it-was-blue/817569/2759703/view","And it was blue","Lioda Conrad Fine Art","South Africa","11","16","295","994","25","Landscape","Watercolor","1439510400000"
"Cathy 2","https://www.saatchiart.com/art/Painting-Cathy-2/313699/2348844/view","Cathy 2","Frederic Belaubre","France","17","24","260","1427","27","Women","Ink","602553600000"
"Sight (18)","https://www.saatchiart.com/art/Painting-Sight-18/314224/2638140/view","Sight (18)","Ad van Riel","Netherlands","9","13","260","540","11","Abstract","Acrylic, Oil","1405468800000"
"Aqua","https://www.saatchiart.com/art/Painting-Aqua/902404/3464243/view","Aqua","Tamara Shevchuk","Ukraine","7","15","140","58","7","Water","Oil","1451606400000"
"kitchen","https://www.saatchiart.com/art/Painting-kitchen/772892/2397763/view","kitchen","Maryna Klymchuk","Ukraine","15","11","140","605","21","Food","Oil","1427233425000"
"19mm x 50m 8","https://www.saatchiart.com/art/Painting-19mm-x-50m-8/126029/2055375/view","19mm x 50m 8","Dragomir Misina","United Kingdom","4","4","190","1634","15","Abstract","Acrylic","1400112000000"
"Megalitica","https://www.saatchiart.com/art/Painting-Megalitica/679891/2296871/view","Megalitica","Alessandro D'Aquila","IT","7","7","240","946","14","Abstract","Airbrush, Oil, oil","1420848000000"
"031 Abstract Thought","https://www.saatchiart.com/art/Painting-031-Abstract-Thought/285429/2404315/view","031 Abstract Thought","Chowdary V Arikatla","Canada","12","12","215","891","40","Abstract","Acrylic, Gesso, Paint","1414195200000"
"Reflection","https://www.saatchiart.com/art/Painting-Reflection/153295/3234971/view","Reflection","Andreea Bianca Velcsov","United States","15","11","240","494","17","Abstract","Acrylic","1451606400000"
"after the rain","https://www.saatchiart.com/art/Painting-after-the-rain/814338/3019683/view","after the rain","Aliona Shlapak","Ukraine","34","31","360","327","8","Women","Oil","1420070400000"
"Boats on the Shore, Seascape oil Painting, One of a Kind","https://www.saatchiart.com/art/Painting-Boats-on-the-Shore-Seascape-oil-Painting-One-of-a-Kind/503607/3477682/view","Boats on the Shore, Seascape oil Painting, One of a Kind","Vahe Yeremyan","United States","11","14","260","245","18","Seascape","Oil","1483228800000"
"(Untitled)","https://www.saatchiart.com/art/Painting-Untitled/688433/2503678/view","(Untitled)","Guido Mauas","Argentina","13","19","245","1077","30","Still Life","Oil","1433894400000"
"Urban Heat","https://www.saatchiart.com/art/Painting-Urban-Heat/880096/2976979/view","Urban Heat","Denise Hayden","United States","20","16","319","241","20","Abstract","Acrylic","1462147200000"
"Intertwined","https://www.saatchiart.com/art/Painting-Intertwined/833929/3494238/view","Intertwined","Elizabeth Becker","United States","10","8","260","62","4","Nature","Watercolor","1483228800000"
